JDTDB,   , X, Y, Z, VX, VY, VZ, LT, RG, RR,
*******************************************************************************
$$SOE
2451354.295833333, A.D. 1999-Jun-24 19:06:00.0000, -4.001203414753735E-01, -6.104235293116425E-01,  1.453206051678284E-02,  1.686915292298023E-02, -1.104955018960533E-02, -1.124425012118915E-03,  4.216224719589625E-03,  7.300166803453977E-01, -2.893908699569552E-05,
2451354.297222222, A.D. 1999-Jun-24 19:08:00.0000, -4.000969118021512E-01, -6.104388754521802E-01,  1.453049880464117E-02,  1.686957651267478E-02, -1.104889218215295E-02, -1.124440471609292E-03,  4.216224487426754E-03,  7.300166401476424E-01, -2.894568045706902E-05,
2451354.298611111, A.D. 1999-Jun-24 19:10:00.0000, -4.000734815406278E-01, -6.104542206788076E-01,  1.452893707102918E-02,  1.687000007674511E-02, -1.104823415863725E-02, -1.124455929401112E-03,  4.216224255210992E-03,  7.300165999407296E-01, -2.895227388708852E-05,
2451354.300000000, A.D. 1999-Jun-24 19:12:00.0000, -4.000500506908388E-01, -6.104695649915023E-01,  1.452737531594918E-02,  1.687042361519064E-02, -1.104757611905924E-02, -1.124471385494351E-03,  4.216224022942342E-03,  7.300165597246594E-01, -2.895886728574189E-05,
2451354.301388889, A.D. 1999-Jun-24 19:14:00.0000, -4.000266192528197E-01, -6.104849083902419E-01,  1.452581353940360E-02,  1.687084712801076E-02, -1.104691806341992E-02, -1.124486839888990E-03,  4.216223790620801E-03,  7.300165194994317E-01, -2.896546065301262E-05,
2451354.302777778, A.D. 1999-Jun-24 19:16:00.0000, -4.000031872266062E-01, -6.105002508750044E-01,  1.452425174139477E-02,  1.687127061520489E-02, -1.104625999172030E-02, -1.124502292585008E-03,  4.216223558246372E-03,  7.300164792650464E-01, -2.897205398890174E-05,
2451354.304166667, A.D. 1999-Jun-24 19:18:00.0000, -3.999797546122338E-01, -6.105155924457673E-01,  1.452268992192497E-02,  1.687169407677244E-02, -1.104560190396139E-02, -1.124517743582387E-03,  4.216223325819054E-03,  7.300164390215041E-01, -2.897864729339725E-05,
2451354.305555556, A.D. 1999-Jun-24 19:20:00.0000, -3.999563214097381E-01, -6.105309331025079E-01,  1.452112808099669E-02,  1.687211751271279E-02, -1.104494380014419E-02, -1.124533192881102E-03,  4.216223093338847E-03,  7.300163987688041E-01, -2.898524056649209E-05,
2451354.306944444, A.D. 1999-Jun-24 19:22:00.0000, -3.999328876191548E-01, -6.105462728452046E-01,  1.451956621861218E-02,  1.687254092302538E-02, -1.104428568026971E-02, -1.124548640481134E-03,  4.216222860805753E-03,  7.300163585069468E-01, -2.899183380817179E-05,
2451354.308333333, A.D. 1999-Jun-24 19:24:00.0000, -3.999094532405194E-01, -6.105616116738346E-01,  1.451800433477396E-02,  1.687296430770960E-02, -1.104362754433895E-02, -1.124564086382466E-03,  4.216222628219771E-03,  7.300163182359324E-01, -2.899842701844013E-05,
2451354.309722222, A.D. 1999-Jun-24 19:26:00.0000, -3.998860182738675E-01, -6.105769495883759E-01,  1.451644242948415E-02,  1.687338766676486E-02, -1.104296939235293E-02, -1.124579530585073E-03,  4.216222395580901E-03,  7.300162779557609E-01, -2.900502019727526E-05,
2451354.311111111, A.D. 1999-Jun-24 19:28:00.0000, -3.998625827192347E-01, -6.105922865888060E-01,  1.451488050274528E-02,  1.687381100019057E-02, -1.104231122431265E-02, -1.124594973088936E-03,  4.216222162889144E-03,  7.300162376664319E-01, -2.901161334467266E-05,
2451354.312500000, A.D. 1999-Jun-24 19:30:00.0000, -3.998391465766566E-01, -6.106076226751027E-01,  1.451331855455971E-02,  1.687423430798613E-02, -1.104165304021910E-02, -1.124610413894038E-03,  4.216221930144499E-03,  7.300161973679460E-01, -2.901820646062634E-05,
2451354.313888889, A.D. 1999-Jun-24 19:32:00.0000, -3.998157098461688E-01, -6.106229578472435E-01,  1.451175658492974E-02,  1.687465759015095E-02, -1.104099484007331E-02, -1.124625853000352E-03,  4.216221697346967E-03,  7.300161570603028E-01, -2.902479954513017E-05,
2451354.315277778, A.D. 1999-Jun-24 19:34:00.0000, -3.997922725278070E-01, -6.106382921052066E-01,  1.451019459385768E-02,  1.687508084668444E-02, -1.104033662387629E-02, -1.124641290407864E-03,  4.216221464496551E-03,  7.300161167435029E-01, -2.903139259816506E-05,
2451354.316666667, A.D. 1999-Jun-24 19:36:00.0000, -3.997688346216066E-01, -6.106536254489692E-01,  1.450863258134604E-02,  1.687550407758601E-02, -1.103967839162902E-02, -1.124656726116549E-03,  4.216221231593245E-03,  7.300160764175455E-01, -2.903798561973233E-05,
2451354.318055556, A.D. 1999-Jun-24 19:38:00.0000, -3.997453961276033E-01, -6.106689578785093E-01,  1.450707054739705E-02,  1.687592728285506E-02, -1.103902014333253E-02, -1.124672160126390E-03,  4.216220998637055E-03,  7.300160360824316E-01, -2.904457860981511E-05,
2451354.319444444, A.D. 1999-Jun-24 19:40:00.0000, -3.997219570458327E-01, -6.106842893938043E-01,  1.450550849201316E-02,  1.687635046249100E-02, -1.103836187898781E-02, -1.124687592437361E-03,  4.216220765627977E-03,  7.300159957381606E-01, -2.905117156841938E-05,
2451354.320833333, A.D. 1999-Jun-24 19:42:00.0000, -3.996985173763304E-01, -6.106996199948324E-01,  1.450394641519667E-02,  1.687677361649324E-02, -1.103770359859589E-02, -1.124703023049448E-03,  4.216220532566016E-03,  7.300159553847330E-01, -2.905776449551417E-05,
2451354.322222222, A.D. 1999-Jun-24 19:44:00.0000, -3.996750771191321E-01, -6.107149496815707E-01,  1.450238431694991E-02,  1.687719674486119E-02, -1.103704530215775E-02, -1.124718451962629E-03,  4.216220299451168E-03,  7.300159150221480E-01, -2.906435739111129E-05,
2451354.323611111, A.D. 1999-Jun-24 19:46:00.0000, -3.996516362742732E-01, -6.107302784539975E-01,  1.450082219727529E-02,  1.687761984759425E-02, -1.103638698967441E-02, -1.124733879176880E-03,  4.216220066283437E-03,  7.300158746504067E-01, -2.907095025519283E-05,
2451354.325000000, A.D. 1999-Jun-24 19:48:00.0000, -3.996281948417895E-01, -6.107456063120901E-01,  1.449926005617516E-02,  1.687804292469183E-02, -1.103572866114687E-02, -1.124749304692183E-03,  4.216219833062819E-03,  7.300158342695084E-01, -2.907754308775287E-05,
2451354.326388889, A.D. 1999-Jun-24 19:50:00.0000, -3.996047528217165E-01, -6.107609332558265E-01,  1.449769789365197E-02,  1.687846597615334E-02, -1.103507031657614E-02, -1.124764728508521E-03,  4.216219599789316E-03,  7.300157938794536E-01, -2.908413588878318E-05,
2451354.327777778, A.D. 1999-Jun-24 19:52:00.0000, -3.995813102140899E-01, -6.107762592851843E-01,  1.449613570970792E-02,  1.687888900197819E-02, -1.103441195596324E-02, -1.124780150625864E-03,  4.216219366462930E-03,  7.300157534802422E-01, -2.909072865826793E-05,
2451354.329166667, A.D. 1999-Jun-24 19:54:00.0000, -3.995578670189451E-01, -6.107915844001411E-01,  1.449457350434542E-02,  1.687931200216578E-02, -1.103375357930916E-02, -1.124795571044202E-03,  4.216219133083659E-03,  7.300157130718740E-01, -2.909732139620610E-05,
2451354.330555555, A.D. 1999-Jun-24 19:56:00.0000, -3.995344232363179E-01, -6.108069086006750E-01,  1.449301127756686E-02,  1.687973497671552E-02, -1.103309518661491E-02, -1.124810989763508E-03,  4.216218899651503E-03,  7.300156726543494E-01, -2.910391410258209E-05,
2451354.331944444, A.D. 1999-Jun-24 19:58:00.0000, -3.995109788662439E-01, -6.108222318867633E-01,  1.449144902937466E-02,  1.688015792562682E-02, -1.103243677788150E-02, -1.124826406783764E-03,  4.216218666166466E-03,  7.300156322276683E-01, -2.911050677739607E-05,
2451354.333333333, A.D. 1999-Jun-24 20:00:00.0000, -3.994875339087586E-01, -6.108375542583839E-01,  1.448988675977110E-02,  1.688058084889909E-02, -1.103177835310993E-02, -1.124841822104952E-03,  4.216218432628545E-03,  7.300155917918306E-01, -2.911709942063954E-05,
2451354.334722222, A.D. 1999-Jun-24 20:02:00.0000, -3.994640883638977E-01, -6.108528757155146E-01,  1.448832446875850E-02,  1.688100374653174E-02, -1.103111991230122E-02, -1.124857235727047E-03,  4.216218199037740E-03,  7.300155513468366E-01, -2.912369203229568E-05,
2451354.336111111, A.D. 1999-Jun-24 20:04:00.0000, -3.994406422316968E-01, -6.108681962581329E-01,  1.448676215633925E-02,  1.688142661852416E-02, -1.103046145545637E-02, -1.124872647650029E-03,  4.216217965394052E-03,  7.300155108926861E-01, -2.913028461235621E-05,
